2,926,6
2,927,5
2,928,4
2,929,5
2,1667,6
2,1668,7
2,1669,8
2,1670,6
2,1671,6
4,7175,1
4,7441,1
4,7828,1
4,10295,1
4,10422,28
4,10452,1
4,10480,1
4,10505,2
4,10517,1
4,10539,1
4,10631,1
4,10637,15
4,10657,1
4,10742,1
4,10769,1
4,10857,1
4,10877,1
4,10908,11
4,10963,1
4,10983,11
4,11041,16
4,11055,1
4,11056,1
4,11068,1
4,11072,1
4,11156,1
4,11194,1
4,11308,1
4,11309,1
4,11317,14
4,11363,1
4,11520,1
4,11537,1
4,11542,1
4,11577,1
4,11601,1
4,11625,1
4,11691,1
4,11699,1
4,11701,1
4,11708,1
4,11711,12
4,11767,1
4,11790,1
4,11798,1
4,11827,10
4,11869,1
4,11872,1
4,11968,1
4,12011,13
4,12072,9
4,12074,11
4,12080,11
4,12081,10
4,12089,12
4,12091,13
4,12096,15
4,12098,1
4,12102,1
4,12137,1
4,12149,12
4,12154,1
4,12155,1
4,12156,1
4,12158,1
4,12159,1
4,12160,8
4,12161,1
4,12162,1
4,12163,1
4,12164,1
4,12165,1
4,12166,1
4,12167,1
4,12168,1
5,2784,1
5,2916,1
5,2954,1
5,2957,1
5,4153,1
5,4325,1
5,5636,1
5,6591,1
5,6714,1
5,8248,1
5,9692,1
5,10379,2
5,13669,1
5,13705,1
5,13706,1
5,13729,1
5,14059,1
5,14074,1
5,14075,2
5,14152,4
5,14412,1
5,14422,2
5,14739,1
5,14743,1
5,14749,1
5,15180,4
5,15483,1
5,15517,1
5,15520,1
5,15534,4
5,15537,2
5,15538,6
5,15539,2
5,15540,1
5,15541,4
5,15543,4
5,15544,4
5,15546,5
5,15548,5
5,15549,4
5,15550,1
5,15552,2
5,15556,3
5,15558,1
5,15560,1
5,15561,1
5,15562,1
5,15563,1
5,15564,1
5,15565,1
5,15566,1
5,15568,1
5,15569,1
5,15570,1
5,15571,1
5,15572,1
5,15573,5
5,15574,2
5,15576,2
5,15577,2
5,15578,2
5,15579,4
5,15581,2
5,15582,1
5,15583,2
5,15584,4
5,15585,1
5,15586,1
5,15587,1
5,15591,3
5,15592,3
5,15593,3
5,15594,3
5,15595,3
5,15596,3
